ControlType,ControlClass,ClassName
MC,CA,"Certification, Accreditation, and Security Assessments"
MC,PL,Planning
MC,RA,Risk Assessment
MC,SA,System and Services Acquisition
OC,AT,Awareness and Training
OC,CM,Configuration Management
OC,CP,Contingency Planning
OC,IR,Incident Response
OC,MA,Maintenance
OC,MP,Media Protection
OC,PE,Physical and Environmental Protection
OC,PS,Personnel Security
OC,SI,System and Information Integrity
TC,AC,Access Controls
TC,AU,Audit and Accountability
TC,IA,Identification and Authentication
TC,SC,System and Communications Protection
